"","year","state","income","lfpr"
"271",2011,9,0,0.29
"272",2012,9,0,0.28
"273",2013,9,0,0.24
"274",2014,9,0,0.24
"275",2015,9,0,0.24
"276",1977,10,0,0.43
"277",1978,10,0,0.38
"278",1979,10,0,0.41
"279",1980,10,0,0.37
"280",1981,10,0,0.36
"281",1982,10,0,0.4
"282",1983,10,0,0.34
"283",1984,10,0,0.33
"284",1985,10,0,0.32
"285",1986,10,0,0.32
"286",1987,10,0,0.31
"287",1988,10,0,0.29
"288",1989,10,0,0.28
"289",1990,10,0,0.31
"290",1991,10,0,0.29
"291",1992,10,0,0.29
"292",1993,10,0,0.3
"293",1994,10,0,0.31
"294",1995,10,0,0.3
"295",1996,10,0,0.25
"296",1997,10,0,0.26
"297",1998,10,0,0.27
"298",1999,10,0,0.24
"299",2000,10,0,0.29
"300",2001,10,0,0.3
"301",2002,10,0,0.27
"302",2003,10,0,0.24
"303",2004,10,0,0.23
"304",2005,10,0,0.24
"305",2006,10,0,0.2
"306",2007,10,0,0.22
"307",2008,10,0,0.24
"308",2009,10,0,0.2
"309",2010,10,0,0.22
"310",2011,10,0,0.23
"311",2012,10,0,0.21
"312",2013,10,0,0.21
"313",2014,10,0,0.18
"314",2015,10,0,0.2
"315",1976,11,0,0.35
"316",1977,11,0,0.34
"317",1978,11,0,0.3
"318",1979,11,0,0.33
"319",1980,11,0,0.34
"320",1981,11,0,0.31
"321",1982,11,0,0.31
"322",1983,11,0,0.32
"323",1984,11,0,0.35
"324",1985,11,0,0.32
"325",1986,11,0,0.33
"326",1987,11,0,0.31
"327",1988,11,0,0.34
"328",1989,11,0,0.28
"329",1990,11,0,0.3
"330",1991,11,0,0.28
"331",1992,11,0,0.31
"332",1993,11,0,0.3
"333",1994,11,0,0.31
"334",1995,11,0,0.28
"335",1996,11,0,0.22
"336",1997,11,0,0.23
"337",1998,11,0,0.27
"338",1999,11,0,0.27
"339",2000,11,0,0.24
"340",2001,11,0,0.2
"341",2002,11,0,0.21
"342",2003,11,0,0.18
"343",2004,11,0,0.19
"344",2005,11,0,0.22
"345",2006,11,0,0.23
"346",2007,11,0,0.22
"347",2008,11,0,0.21
"348",2009,11,0,0.21
"349",2010,11,0,0.24
"350",2011,11,0,0.27
"351",2012,11,0,0.24
"352",2013,11,0,0.23
"353",2014,11,0,0.24
"354",2015,11,0,0.21
"355",1976,12,0,0.36
"356",1977,12,0,0.35
"357",1978,12,0,0.34
"358",1979,12,0,0.36
"359",1980,12,0,0.32
"360",1981,12,0,0.33
"361",1982,12,0,0.31
"362",1983,12,0,0.29
"363",1984,12,0,0.31
"364",1985,12,0,0.31
"365",1986,12,0,0.3
"366",1987,12,0,0.3
"367",1988,12,0,0.3
"368",1989,12,0,0.28
"369",1990,12,0,0.29
"370",1991,12,0,0.29
"371",1992,12,0,0.27
"372",1993,12,0,0.26
"373",1994,12,0,0.27
"374",1995,12,0,0.26
"375",1996,12,0,0.24
"376",1997,12,0,0.22
"377",1998,12,0,0.23
"378",1999,12,0,0.21
"379",2000,12,0,0.22
"380",2001,12,0,0.23
"381",2002,12,0,0.23
"382",2003,12,0,0.22
"383",2004,12,0,0.21
"384",2005,12,0,0.21
"385",2006,12,0,0.21
"386",2007,12,0,0.22
"387",2008,12,0,0.19
"388",2009,12,0,0.2
"389",2010,12,0,0.23
"390",2011,12,0,0.21
"391",2012,12,0,0.22
"392",2013,12,0,0.21
"393",2014,12,0,0.2
"394",2015,12,0,0.17
"395",1977,13,0,0.41
"396",1978,13,0,0.39
"397",1979,13,0,0.37
"398",1980,13,0,0.38
"399",1981,13,0,0.38
"400",1982,13,0,0.37
"401",1983,13,0,0.37
"402",1984,13,0,0.32
"403",1985,13,0,0.32
"404",1986,13,0,0.34
"405",1987,13,0,0.35
"406",1988,13,0,0.33
"407",1989,13,0,0.3
"408",1990,13,0,0.32
"409",1991,13,0,0.3
"410",1992,13,0,0.32
"411",1993,13,0,0.3
"412",1994,13,0,0.26
"413",1995,13,0,0.29
"414",1996,13,0,0.25
"415",1997,13,0,0.27
"416",1998,13,0,0.27
"417",1999,13,0,0.29
"418",2000,13,0,0.3
"419",2001,13,0,0.25
"420",2002,13,0,0.22
"421",2003,13,0,0.27
"422",2004,13,0,0.22
"423",2005,13,0,0.24
"424",2006,13,0,0.25
"425",2007,13,0,0.22
"426",2008,13,0,0.25
"427",2009,13,0,0.22
"428",2010,13,0,0.25
"429",2011,13,0,0.25
"430",2012,13,0,0.27
